Filename,Best,Function,NumEvals,X,Y,Z,RunTime_sec,g1
radiobox.stl,3,2338.99394,126,0,-1,0,00:06.3,44.74991358
radiobox.stl,4,3900.596639,126,-1,0,0,00:06.3,59.70056502
radiobox.stl,5,4204.145275,126,0.999742628,0.019395408,-0.011768411,00:06.3,62.19088439
radiobox.stl,6,6839.234043,126,0.202758056,0.979165269,0.011160046,00:06.3,80.63990866
Rook.amf.3mf,1,0.003508859,193,0,1,0,00:04.6,0.059235624
Rook.amf.3mf,2,2.680612333,193,0,-1,0,00:04.6,-0.005452515
Rook.amf.3mf,3,4.137035513,193,-1,0,0,00:04.6,0.940022333
Rook.amf.3mf,4,4.137035513,193,1,0,0,00:04.6,0.940022333
Rook.amf.3mf,5,4.137035513,193,0.525731112,0,0.850650808,00:04.6,0.940022333
Rook.amf.3mf,6,4.137035513,193,0.525731112,0,-0.850650808,00:04.6,0.940022333
Rook.amf.3mf,7,4.137035513,193,0,0,1,00:04.6,0.940022333
Rook.amf.3mf,8,4.137035513,193,-0.525731112,0,-0.850650808,00:04.6,0.940022333
Rook.amf.3mf,9,4.137035513,193,0,0,-1,00:04.6,0.940022333
spherebox.stl,1,0.000341337,140,-0.916092027,0,-0.400968076,00:02.4,-0.1
spherebox.stl,2,0.000341337,140,-0.916092027,0,0.400968076,00:02.4,-0.1
spherebox.stl,3,0.00037395,140,0.19537884,0.799132658,-0.56851922,00:02.4,-0.1
spherebox.stl,4,0.00037395,140,0.19537884,0.799132658,0.56851922,00:02.4,-0.1
spherebox.stl,5,0.00037395,140,0.19537884,-0.799132658,0.56851922,00:02.4,-0.1
spherebox.stl,6,0.00037395,140,0.19537884,-0.799132658,-0.56851922,00:02.4,-0.1
spherebox.stl,7,0.00037395,140,0.464091009,-0.864902291,0.191216011,00:02.4,-0.1
spherebox.stl,8,0.00037395,140,0.464091009,0.864902291,0.191216011,00:02.4,-0.1
SquareSupportWithAdditionsForSegmentationTesting.STL,1,36308.62881,187,-1,0,0,00:12.9,-5722.576102
