Ticks,Days,Hours,Milliseconds,Minutes,Seconds,TotalDays,TotalHours,TotalMilliseconds,TotalMinutes,TotalSeconds
1567062062,0,0,706,2,36,0.001813729238425926,0.043529501722222225,156706.2062,2.6117701033333334,156.7062062
24533774,0,0,453,0,2,2.839557175925926E-05,0.0006814937222222223,2453.3774,0.04088962333333333,2.4533774
1435660393,0,0,566,2,23,0.0016616439733796297,0.039879455361111114,143566.0393,2.3927673216666667,143.5660393
54924598,0,0,492,0,5,6.357013657407407E-05,0.0015256832777777777,5492.4598,0.09154099666666667,5.4924598
2914743581,0,0,474,4,51,0.0033735458113425924,0.08096509947222222,291474.3581,4.857905968333333,291.4743581
14398549,0,0,439,0,1,1.666498726851852E-05,0.00039995969444444446,1439.8549,0.023997581666666667,1.4398549
1744240270,0,0,424,2,54,0.002018796608796296,0.048451118611111114,174424.027,2.9070671166666666,174.424027
4916487,0,0,491,0,0,5.690378472222222E-06,0.00013656908333333333,491.6487,0.008194145,0.4916487
226048216,0,0,604,0,22,0.00026162987962962965,0.0062791171111111115,22604.8216,0.37674702666666665,22.6048216
26236668,0,0,623,0,2,3.0366513888888887E-05,0.0007287963333333334,2623.6668,0.04372778,2.6236668
659093558,0,0,909,1,5,0.0007628397662037037,0.01830815438888889,65909.3558,1.0984892633333334,65.9093558
20195727,0,0,19,0,2,2.337468402777778E-05,0.0005609924166666666,2019.5727,0.033659545,2.0195727
528086005,0,0,808,0,52,0.0006112106539351851,0.014669055694444445,52808.6005,0.8801433416666666,52.8086005
24381156,0,0,438,0,2,2.8218930555555555E-05,0.0006772543333333333,2438.1156,0.04063526,2.4381156
1679398362,0,0,939,2,47,0.0019437481041666667,0.0466499545,167939.8362,2.79899727,167.9398362
24879327,0,0,487,0,2,2.879551736111111E-05,0.0006910924166666667,2487.9327,0.041465545,2.4879327
768625171,0,0,862,1,16,0.0008896124664351852,0.021350699194444444,76862.5171,1.2810419516666667,76.8625171
52000224,0,0,200,0,5,6.0185444444444444E-05,0.0014444506666666667,5200.0224,0.08666704,5.2000224
3109899240,0,0,989,5,10,0.0035994204166666668,0.08638609,310989.924,5.1831654,310.989924
16032980,0,0,603,0,1,1.8556689814814814E-05,0.00044536055555555556,1603.298,0.026721633333333335,1.603298
1603595712,0,0,359,2,40,0.0018560135555555557,0.044544325333333336,160359.5712,2.67265952,160.3595712
4881391,0,0,488,0,0,5.649758101851852E-06,0.00013559419444444444,488.1391,0.008135651666666667,0.4881391
209348118,0,0,934,0,20,0.0002423010625,0.0058152255,20934.8118,0.34891353,20.9348118
28241594,0,0,824,0,2,3.268703009259259E-05,0.0007844887222222222,2824.1594,0.047069323333333336,2.8241594
706678577,0,0,667,1,10,0.0008179150196759259,0.01962996047222222,70667.8577,1.1777976283333333,70.6678577
18872254,0,0,887,0,1,2.1842886574074075E-05,0.0005242292777777777,1887.2254,0.031453756666666666,1.8872254
560303070,0,0,30,0,56,0.0006484989236111112,0.015563974166666666,56030.307,0.93383845,56.030307
22315451,0,0,231,0,2,2.5828068287037036E-05,0.0006198736388888889,2231.5451,0.03719241833333333,2.2315451
1615412210,0,0,541,2,41,0.0018696900578703704,0.04487256138888889,161541.221,2.6923536833333332,161.541221
26187443,0,0,618,0,2,3.030954050925926E-05,0.0007274289722222222,2618.7443,0.043645738333333337,2.6187443
678346380,0,0,834,1,7,0.000785123125,0.018842955,67834.638,1.1305773,67.834638
51789482,0,0,178,0,5,5.994153009259259E-05,0.0014385967222222222,5178.9482,0.08631580333333333,5.1789482
3042341456,0,0,234,5,4,0.003521228537037037,0.08450948488888889,304234.1456,5.070569093333333,304.2341456
14670486,0,0,467,0,1,1.6979729166666667E-05,0.0004075135,1467.0486,0.02445081,1.4670486
1529855344,0,0,985,2,32,0.0017706659074074075,0.042495981777777775,152985.5344,2.549758906666667,152.9855344
